Sample	DryWeight	cultureV	residmass	homog_weight
p0.05	24.3	80	0.5	23.8
p0.11	39.3	170	0.4	38.9
p0.16	40.9	196	0.8	40.1
p0.22	37.3	262	0.4	36.9
p0.30	36.9	360	0.6	36.3
n0.05	18.4	100	0.4	18
n0.11	28	198	0.6	27.4
n0.16	29.3	247	0.1	29.2
n0.22	24.6	300	1.1	23.5
n0.30	17.2	308	0.6	16.6
c0.05	24.9	91	0.8	24.1
c0.11	57.3	192	NA	30.9
c0.16	83.9	294	NA	30.6
c0.22	60.6	390	NA	31
c0.30	34.6	400	0.5	34.1
L0.05	23.7	100	0.5	23.2
L0.11	39.6	150	0.7	38.9
L0.16	48.5	170	NA	33.7
L0.22	71.4	285	NA	35.4
L0.30	62.7	375	NA	37.1
u0.05	26.6	76	0.3	26.3
u0.11	40.9	143	0.2	40.7
u0.16	25.6	167	0.4	25.2
u0.22	44.8	226	NA	36.6
u0.30	29.1	404	0.5	28.6
p0.05H1	17.1	74	0.1	17
p0.05H2	24.3	81	0.4	23.9
