rx	reversible	ECfreeE	ECfreeEsd	ECdir	SMfreeE	SMfreeEsd	SMdir
r_0001	0	NA	NA	NA	NA	NA	NA
r_0002	0	NA	NA	NA	NA	NA	NA
r_0003	0	NA	NA	NA	NA	NA	NA
r_0004	1	-55.70306859	1.161920068	1	NA	NA	NA
r_0005	0	NA	NA	NA	NA	NA	NA
r_0006	0	0	1e+06	1	NA	NA	NA
r_0007	0	NA	NA	NA	NA	NA	NA
r_0008	0	-3.025694123	1.349288904	0	NA	NA	NA
r_0009	0	NA	NA	NA	NA	NA	NA
r_0010	0	NA	NA	NA	NA	NA	NA
r_0011	0	NA	NA	NA	NA	NA	NA
r_0012	0	NA	NA	NA	-11.79651168	6.159928797	1
r_0013	0	NA	NA	NA	NA	NA	NA
r_0014	0	NA	NA	NA	NA	NA	NA
r_0015	0	NA	NA	NA	NA	NA	NA
r_0016	0	-38.6754492	4.813060933	1	-35.29900189	4.813060933	1
r_0017	0	NA	NA	NA	NA	NA	NA
r_0018	0	NA	NA	NA	NA	NA	NA
r_0019	0	-16.28431077	3.770240241	1	-16.28431077	3.770240241	1
r_0020	0	NA	NA	NA	-16.28431077	3.770240241	1
r_0021	1	-72.05929384	3.03960725	1	-72.05929384	3.03960725	1
r_0022	0	NA	NA	NA	NA	NA	NA
r_0023	0	NA	NA	NA	NA	NA	NA
r_0024	0	NA	NA	NA	NA	NA	NA
r_0025	0	NA	NA	NA	NA	NA	NA
r_0026	0	-26.6704228	1.437418671	1	NA	NA	NA
r_0027	0	-26.6704228	1.437418671	1	NA	NA	NA
r_0028	0	NA	NA	NA	NA	NA	NA
r_0029	0	NA	NA	NA	NA	NA	NA
r_0030	1	-37.04136948	1.164491713	1	-37.92113074	3.924792878	1
r_0031	0	NA	NA	NA	NA	NA	NA
r_0032	0	NA	NA	NA	NA	NA	NA
r_0033	0	NA	NA	NA	NA	NA	NA
r_0034	0	NA	NA	NA	-6.763816664	3.546055382	1
r_0035	1	NA	NA	NA	-44.83075889	1.709778663	1
r_0036	0	NA	NA	NA	NA	NA	NA
r_0037	0	NA	NA	NA	NA	NA	NA
r_0038	0	NA	NA	NA	NA	NA	NA
r_0039	0	NA	NA	NA	NA	NA	NA
r_0040	1	-95.58630327	1.779095671	1	NA	NA	NA
r_0041	0	NA	NA	NA	NA	NA	NA
r_0042	0	NA	NA	NA	NA	NA	NA
r_0043	0	NA	NA	NA	NA	NA	NA
r_0044	0	NA	NA	NA	NA	NA	NA
r_0045	1	-72.05929384	3.03960725	1	-72.05929384	3.03960725	1
r_0046	0	NA	NA	NA	NA	NA	NA
r_0047	0	NA	NA	NA	NA	NA	NA
r_0048	0	NA	NA	NA	NA	NA	NA
r_0049	0	NA	NA	NA	-0.6288552	1.230057306	0
r_0050	0	NA	NA	NA	NA	NA	NA
r_0051	0	NA	NA	NA	-1.029264	3.770240241	0
r_0052	0	NA	NA	NA	NA	NA	NA
r_0053	0	NA	NA	NA	-0.6288552	1.230057306	0
r_0054	0	NA	NA	NA	-0.6288552	1.230057306	0
r_0055	0	NA	NA	NA	NA	NA	NA
r_0056	0	NA	NA	NA	NA	NA	NA
r_0057	0	NA	NA	NA	18.36510565	2.074530759	1
r_0058	0	NA	NA	NA	NA	NA	NA
r_0059	0	NA	NA	NA	-21.69598805	1.062307243	-1
r_0060	0	NA	NA	NA	-21.69556965	1.062307243	-1
r_0061	0	NA	NA	NA	NA	NA	NA
r_0062	0	NA	NA	NA	NA	NA	NA
r_0063	0	NA	NA	NA	NA	NA	NA
r_0064	0	NA	NA	NA	NA	NA	NA
r_0065	0	NA	NA	NA	NA	NA	NA
r_0066	0	9.321333423	5.716916768	1	9.321333423	5.716916768	1
r_0067	0	-14.69326039	2.284103215	1	NA	NA	NA
r_0068	0	NA	NA	NA	NA	NA	NA
r_0069	0	NA	NA	NA	NA	NA	NA
r_0070	0	-16.7399109066667	3.796049951	1	-17.70745441	3.796049951	1
r_0071	0	NA	NA	NA	NA	NA	NA
r_0072	1	NA	NA	NA	-209.1948336	10.90001538	1
r_0073	0	4.625027114	2.570477725	1	4.625027114	2.570477725	1
r_0074	0	NA	NA	NA	-11.16295949	1.481854052	1
r_0075	0	NA	NA	NA	NA	NA	NA
r_0076	0	NA	NA	NA	NA	NA	NA
r_0077	0	NA	NA	NA	NA	NA	NA
r_0078	0	-14.69326039	2.284103215	1	NA	NA	NA
r_0079	0	NA	NA	NA	NA	NA	NA
r_0080	0	NA	NA	NA	NA	NA	NA
r_0081	0	NA	NA	NA	NA	NA	NA
r_0082	0	NA	NA	NA	-16.1342307	2.168732451	1
r_0083	0	NA	NA	NA	-3.576499429	2.929348127	1
r_0084	0	NA	NA	NA	-19.55529702	3.312594141	1
r_0085	0	NA	NA	NA	-11.3732198	2.380748629	1
r_0086	0	NA	NA	NA	-9.110984204	2.380748629	1
r_0087	0	NA	NA	NA	-4.169625209	3.282483918	1
r_0088	0	NA	NA	NA	26.17032177	5.345545712	1
r_0089	0	NA	NA	NA	-5.892828803	4.395754873	1
r_0090	0	NA	NA	NA	-6.659137861	2.715832014	1
r_0091	0	NA	NA	NA	-5.192818376	7.007002018	1
