cofactor	SpeciesName	Compartment	mel_cofactor	reaction	inverse_rxn	mel_reaction
s_1495_b	acyl-carrier protein	c_02	ACP_c			
s_1496_b	acyl-carrier protein	c_10				
s_0400	ADP	c_02	ADP_c	"r_1149, r_0249, r_0777, r_0222, r_0952, r_1007"		"45, 47, 80"
s_0403	ADP	c_10	ADP_m	"r_1149, r_0246"		"80, 76, 77"
s_0405	ADP	c_14				
s_0434	AMP	c_02	AMP_c	"r_0034, r_0158, r_0171, r_0551, r_1415"		
s_0435	AMP	c_10				
s_0437	AMP	c_14				
s_0446	ATP	c_02	ATP_c	"r_1149, r_0249, r_0551, r_0777, r_0245, r_0472, r_0761, r_0814, r_1006"		"45, 47, 80"
s_0449	ATP	c_10	ATP_m	"r_1149, r_0246"		"80, 76, 77"
s_0451	ATP	c_14				
s_0458	bicarbonate	c_02	Bicarbonate_c	"r_0254, r_0277"		
s_0460	bicarbonate	c_10	Bicarbonate_m	r_0251		
s_0470	carbon dioxide	c_02	CO2_c	r_0254		"41, 71, 85"
s_0472_b	carbon dioxide	c_05		carbon dioxide boundary		
s_0474	carbon dioxide	c_10	CO2_m	r_0251		"67, 85"
s_0476	carbon dioxide	c_14				
s_0514	coenzyme A	c_02	CoA_c			
s_0515	coenzyme A	c_03				
s_0517	coenzyme A	c_10	CoA_m			
s_0519	coenzyme A	c_14				
s_0605	diphosphate	c_02	Diphosphate_c			42
s_0608	diphosphate	c_10				
s_0610	diphosphate	c_14				
s_0657	FAD	c_02		r_0472		
s_0658	FAD	c_10	FAD_m	r_1002		74
s_0659	FADH2	c_02				
s_0660	FADH2	c_10	FADH2_m	r_1002		74
s_0752	GMP	c_02				
s_0706	GDP	c_02		"r_0777, r_0393, r_1309"		
s_0708	GDP	c_10	GDP_m			77
s_0755	GTP	c_02		"r_0777, r_0697, r_0961, r_1309 "		
s_0756	GTP	c_10	GTP_m			77
s_0764_b	H+	c_02	H+_c	r_0246		"46, 74, 75, 76"
s_0765_b	H+	c_03				
s_0766_b	H+	c_05				
s_0769_b	H+	c_10	H+_m	r_0246		"66, 74, 75, 76"
s_0771_b	H+	c_14				
s_1434_b	water	c_02	H2O_c	r_0254		"41, 42, 46, 83, 86"
s_1435_b	water	c_03				
s_1436_b	water	c_05		water boundary		
s_1439_b	water	c_10	H2O_m	r_0251		"66, 67, 83, 86"
s_1441_b	water	c_14				
s_1082	NAD(+)	c_02	NAD+_c			
s_1083	NAD(+)	c_03				
s_1084	NAD(+)	c_10	NAD+_m	r_0745		75
s_1086	NAD(+)	c_14				
s_1087	NADH	c_02	NADH_c			
s_1088	NADH	c_03				
s_1089	NADH	c_10	NADH_m	r_0745		75
s_1090	NADH	c_14				
s_1091	NADP(+)	c_02	NADP+_c			
s_1092	NADP(+)	c_03				
s_1094	NADP(+)	c_10	NADP+_m			
s_1095	NADP(+)	c_14				
s_1096	NADPH	c_02	NADPH_c			
s_1097	NADPH	c_03				
s_1098	NADPH	c_10	NADPH_m			
s_1099	NADPH	c_14				
s_1160	oxygen	c_02	O2_c			"72, 84"
s_1161	oxygen	c_03				
s_1162_b	oxygen	c_05		oxygen boundary		
s_1163	oxygen	c_10	O2_m			"74, 75, 84"
s_1164	oxygen	c_14				
s_0806	hydroxide	c_02	OH-_c			46
s_0807	hydroxide	c_10	OH-_m			66
s_1207	phosphate	c_02	Phosphate_c	r_0249		"42, 47, 79"
s_1209_b	phosphate	c_05				
s_1211	phosphate	c_10	Phosphate_m	r_0246		"76, 79"
s_1213	phosphate	c_14				
s_1417	UMP	c_02				
s_1418	UMP	c_10				
s_1411	UDP	c_02	UDP_c			45
s_1430	UTP	c_02	UTP_c			45
s_1431	UTP	c_10				
s_1517	thioredoxin disulfide	c_02				
s_0801	hydrogen peroxide	c_02				
s_1521	thioredoxin dithiol	c_02				
s_0185	2-oxoglutarate_T	c_02		"r_0235, r_1104, r_1152"		
s_0380	acetylCoA	c_02		"r_0124, r_0127"		
s_0430	ammonium	c_02				
s_0907	L-glutamine	c_02			"r_0221, r_0277, r_0514, r_0551, r_0604, r_0888"	
s_0943	L-serine	c_02			r_0539	
s_0740	glycine	c_02		"r_1302, r_0174, r_0537, r_0648, r_0890, r_1026"		
s_0899	L-glutamate	c_02		"r_0235, 1164, r_0506, r_0507, r_0508, r_0510, r_0513, r_0515, r_0970"		
s_1410	ubiquinone-6	c_10		"r_0745, r_1002"		
s_1409	ubiquinol-6	c_10		"r_0745, r_1002"		
s_0679	ferricytochrome c	c_10		"r_0470, r_0471"		
s_0680	ferrocytochrome c	c_10		"r_0470, r_0471"		
s_0683	FMN	c_02			r_0489	
s_0686	FMNH2	c_02			r_0489	
s_0804	hydrogen peroxide	c_14		"r_0283, r_0592"		
s_0385	acetyl-CoA	c_14		"r_0329, r_0692 "		
s_1005	malonyl-CoA	c_02		r_0124		
