metabolite	SpeciesName	reaction	new_name
s_1415	UDP-D-glucose		UDP-glucose_A
s_1415	UDP-D-glucose	"r_0005, r_1072"	UDP-glucose_B
s_0943	L-serine	"r_0338, r_0664, r_0892"	L-serine_A
s_0943	L-serine	r_1042	L-serine_B
s_0943	L-serine	r_1494	L-serine_T
s_0740	glycine	"r_0537, r_0648, r_0890, r_1026"	glycine_A
s_0740	glycine	"r_0174, r_1302, r_0539"	glycine_T
s_0369	acetate	"r_0069, r_0340, r_0783"	acetate_A
s_0369	acetate	"r_0127, r_0191, r_0401, r_0627"	acetate_B
s_0400	ADP	"r_0222, r_0952"	ADP_A
s_0400	ADP	r_1007	ADP_B
s_0400	ADP	"r_1149, r_0249, r_0777"	ADP_C
s_0434	AMP	"r_0034, r_1415"	AMP_A
s_0434	AMP	r_1415	AMP_T
s_0434	AMP	"r_0158, r_0171"	AMP_B
s_0434	AMP	r_0551	AMP_C
s_0446	ATP	r_0245	ATP_A
s_0446	ATP	r_0472	ATP_B
s_0446	ATP	r_0761	ATP_C
s_0446	ATP	r_0814	ATP_D
s_0446	ATP	r_1006	ATP_E
s_0446	ATP	"r_1149, r_0249, r_0777"	ATP_F
s_0446	ATP	r_0551	ATP_G
s_0755	GTP	r_0777	GTP_A
s_0755	GTP	r_0697	GTP_B
s_0755	GTP	r_0961	GTP_C
s_0755	GTP	 r_1309 	GTP_T
s_0706	GDP	r_0777	GDP_A
s_0706	GDP	r_0393	GDP_B
s_0706	GDP	r_1309	GDP_T
s_0181	2-oxoadipic acid	r_0018	2-oxoadipic acid_A
s_0181	2-oxoadipic acid	"r_1104, r_1105"	2-oxoadipic acid_T
s_0185	2-oxoglutarate	"r_0508, r_0510, r_0630, r_0969"	2-oxoglutarate_A
s_0185	2-oxoglutarate	"r_1104, r_1152, r_0018, r_0073, r_0235, r_0577, r_0634, r_0674, r_0792, r_0825, r_0893, r_1050, r_1073"	2-oxoglutarate_T
s_0917	L-homocysteine	"r_0337, r_0338, r_0783"	L-homocysteine_A
s_0917	L-homocysteine	"r_0584, r_0702"	L-homocysteine_B
s_0881	L-aspartate	"r_0233, r_0652"	L-aspartate_A
s_0881	L-aspartate	r_0232	L-aspartate_B
s_0881	L-aspartate	r_0886	L-aspartate_C
s_0881	L-aspartate	r_0170	L-aspartate_D
s_0881	L-aspartate	"r_0234,"	L-aspartate_E
s_0881	L-aspartate	"r_0235, r_1163, r_1164, r_1356"	L-aspartate_T
s_0899	glutamate	r_0970	glutamate_A
s_0899	glutamate	"r_0221, r_0506, r_0507, r_0508, r_0510, r_0515"	glutamate_B
s_0899	glutamate	"r_0018, r_0073, r_0235, r_0277, r_0514, r_0551, r_0577, r_0604, r_0634, r_0674, r_0792, r_0825, r_0888, r_0893, r_1050, r_1073, 1164"	glutamate_T
s_0863	L-alanine	"r_0048, r_0641"	L-alanine_A
s_0863	L-alanine	"r_0174, r_1346"	L-alanine_T
s_0735	glycerone phosphate	"r_0353, r_0484, r_0530, r_0709, r_0971, r_1041"	glycerone phosphate_A
s_0735	glycerone phosphate	r_0942	glycerone phosphate_B
s_0692	fumarate(2-)	"r_0169, r_0171"	fumarate(2-)_A
s_0692	fumarate(2-)	"r_0485, r_0489, r_0980"	fumarate(2-)_B
s_1156	oxaloacetate(2-)	"r_0688, r_0857, r_0937"	oxaloacetate(2-)_A
s_1156	oxaloacetate(2-)	"r_0235, r_1406, r_1444"	oxaloacetate(2-)_T
s_0069	(S)-malate(2-)	"r_0485, r_0688, r_0691"	(S)-malate(2-)_A
s_0069	(S)-malate(2-)	"r_1182, r_1186, r_1405, r_1406"	(S)-malate(2-)_T
s_0731	glyceraldehyde 3-phosphate	"r_0484, r_0525, r_1035, r_1036, r_1037, r_1041"	glyceraldehyde 3-phosphate_A
s_0731	glyceraldehyde 3-phosphate	r_1042	glyceraldehyde 3-phosphate_B
s_1277	pyruvate	"r_0001, r_0004, r_0221, r_0337, r_0664, r_0937, r_0938"	pyruvate_A
s_1277	pyruvate	"r_0174, r_1209, r_1482"	pyruvate_T
s_0749	glyoxylate	"r_0633, r_0691"	glyoxylate_A
s_0749	glyoxylate	"r_0174, r_1308"	glyoxylate_T
