Reaction	ReactionID	Compartment	Metabolite	MetName	StoiCoef
polyphosphate kinase	r_1866	c_02	s_0446	ATP	-1
polyphosphate kinase	r_1866	c_02	s_0400	ADP	1
polyphosphate kinase	r_1866	c_02	s_2658	polyphosphate	1
polyphosphate kinase	r_1866	c_02	s_2659	YPL019C	NA
polyphosphate kinase	r_1866	c_02	s_2660	YJL012C	NA
polyphosphate kinase	r_1866	c_02	s_2661	YFL004W	NA
polyphosphatase	r_1867	c_02	s_2658	polyphosphate	-1
polyphosphatase	r_1867	c_02	s_1434_b	water	-1
polyphosphatase	r_1867	c_02	s_1207	phosphate	1
polyphosphatase	r_1867	c_02	s_0764_b	H+	1
polyphosphatase	r_1867	c_02	s_2662	YHR201C	NA
polyphosphatase	r_1867	c_02	s_2663	YDR452W	NA
Misc ATP hydrolysis	r_1868	c_02	s_0446	ATP	-1
Misc ATP hydrolysis	r_1868	c_02	s_1434_b	water	-1
Misc ATP hydrolysis	r_1868	c_02	s_0400	ADP	1
Misc ATP hydrolysis	r_1868	c_02	s_1207	phosphate	1
Misc ATP hydrolysis	r_1868	c_02	s_0764_b	H+	1
